userid,movieid,date_watch,time_watch,minutes,date_rate,time_rate,rating
101645,the+wizard+of+oz+1939,2022-08-14,14:29:10,98,2022-08-14,14:35:17,3
4220,vegas+vacation+1997,2022-08-14,16:04:43,85,2022-08-14,16:14:28,4
149480,star+wars+episode+i+-+the+phantom+menace+1999,2022-08-14,18:04:40,99,2022-08-14,18:43:52,4
108413,clerks+1994,2022-08-14,18:20:40,88,2022-08-14,18:26:40,5
7569,twister+1996,2022-08-14,18:40:54,99,2022-08-14,18:56:56,3
7079,amlie+2001,2022-08-14,18:47:20,99,2022-08-14,19:12:19,5
158006,the+italian+job+2003,2022-08-14,18:57:45,99,2022-08-14,19:10:36,3
184180,legends+of+the+fall+1994,2022-08-14,20:45,99,2022-08-14,21:20:56,5
97919,mission+impossible+1996,2022-08-14,20:44:15,99,2022-08-14,20:57:05,4
52043,pi+1998,2022-08-14,20:41:36,85,2022-08-14,20:42:37,4
79445,e.t.+the+extra-terrestrial+1982,2022-08-14,21:50:07,99,2022-08-14,22:08:06,3
97919,fear+1996,2022-08-14,23:17:37,98,2022-08-14,23:18:37,4
94250,e.t.+the+extra-terrestrial+1982,2022-08-14,23:20:08,99,2022-08-14,23:38:10,4
180066,speed+1994,2022-08-14,23:37:13,91,2022-08-15,00:04:44,5
180066,speed+1994,2022-08-15,00:02:43,116,2022-08-15,00:04:44,5
93324,addams+family+values+1993,2022-08-14,23:59:09,87,2022-08-15,00:08:10,3
93324,addams+family+values+1993,2022-08-15,00:01:59,90,2022-08-15,00:08:10,3
48199,the+terminator+1984,2022-08-14,23:48:55,72,2022-08-15,00:27:17,3
48199,the+terminator+1984,2022-08-15,00:25:19,108,2022-08-15,00:27:17,3
76449,platoon+1986,2022-08-14,23:54:27,50,2022-08-15,01:11:14,5
76449,platoon+1986,2022-08-15,01:10:11,121,2022-08-15,01:11:14,5
213624,lake+placid+1999,2022-08-14,23:59:38,54,2022-08-15,00:29:31,1
213624,lake+placid+1999,2022-08-15,00:26:33,81,2022-08-15,00:29:31,1
67973,fight+club+1999,2022-08-14,23:58:04,35,2022-08-15,01:44:04,3
67973,fight+club+1999,2022-08-15,01:43:05,140,2022-08-15,01:44:04,3
99059,mrs.+doubtfire+1993,2022-08-14,23:57:53,25,2022-08-15,01:39:10,3
99059,mrs.+doubtfire+1993,2022-08-15,01:36:11,124,2022-08-15,01:39:10,3
218573,woyzeck+1979,2022-08-15,02:22:51,83,2022-08-15,02:23:54,3
6555,the+fugitive+1993,2022-08-15,03:43:18,125,2022-08-15,03:45:21,1
101645,the+abyss+1989,2022-08-15,04:36:47,138,2022-08-15,04:39:54,4
20325,under+the+sand+2000,2022-08-15,04:16:37,92,2022-08-15,04:18:45,3
92968,home+alone+1990,2022-08-15,06:07:01,104,2022-08-15,06:08:04,3
152229,the+13th+warrior+1999,2022-08-15,06:21:34,103,2022-08-15,06:22:38,3
217413,top+hat+1935,2022-08-15,08:23:22,102,2022-08-15,08:24:21,5
83359,the+lion+king+1994,2022-08-15,08:48:15,89,2022-08-15,08:50:15,4
103595,the+phantom+1996,2022-08-15,08:29,99,2022-08-15,08:32:07,3
179877,toy+story+1995,2022-08-15,11:09:37,81,2022-08-15,11:11:37,5
77935,batman+begins+2005,2022-08-15,13:32:44,141,2022-08-15,13:33:46,4
52043,no+country+for+old+men+2007,2022-08-15,13:51:02,99,2022-08-15,14:16:40,4
16915,the+witches+of+eastwick+1987,2022-08-15,13:59:58,99,2022-08-15,14:11:07,1
175655,atonement+2007,2022-08-15,15:29:12,97,2022-08-15,15:57:42,5
27055,lock_+stock+and+two+smoking+barrels+1998,2022-08-15,16:45:27,99,2022-08-15,16:53:20,5
122095,mulholland+drive+2001,2022-08-15,17:01:11,96,2022-08-15,17:53:56,4
198286,the+englishman+who+went+up+a+hill+but+came+down+a+mountain+1995,2022-08-15,16:36:09,62,2022-08-15,16:38:06,1
30927,frequency+2000,2022-08-10,07:07:23,96,2022-08-10,07:08:22,2
122095,get+shorty+1995,2022-08-10,09:59:16,101,2022-08-10,10:01:15,2
189746,waiting+to+exhale+1995,2022-08-10,15:34:18,99,2022-08-10,16:04:18,3
187199,independence+day+1996,2022-08-10,17:31:18,76,2022-08-10,17:33:15,2
9998,lock_+stock+and+two+smoking+barrels+1998,2022-08-10,20:09:08,99,2022-08-10,20:17:18,4
75955,romancing+the+stone+1984,2022-08-10,22:29:54,91,2022-08-10,22:47:04,4
94708,the+matrix+1999,2022-08-10,23:53:14,45,2022-08-11,01:26:07,4
94708,the+matrix+1999,2022-08-11,01:24:07,136,2022-08-11,01:26:07,4
63601,finding+nemo+2003,2022-08-11,02:11:32,100,2022-08-11,02:13:31,5
158488,working+girl+1988,2022-08-11,02:25:02,114,2022-08-11,02:27:01,5
6996,happiness+1998,2022-08-11,06:11:22,140,2022-08-11,06:12:21,3
7569,the+island+of+dr.+moreau+1996,2022-08-11,05:30:58,97,2022-08-11,05:31:58,3
83359,the+arrival+1996,2022-08-11,07:39:03,116,2022-08-11,07:40:04,4
180066,true+lies+1994,2022-08-11,09:31:10,142,2022-08-11,09:32:13,5
122354,the+blair+witch+project+1999,2022-08-11,12:00:35,82,2022-08-11,12:01:38,3
184085,basic+instinct+1992,2022-08-11,13:26:46,98,2022-08-11,13:58:12,3
70259,forrest+gump+1994,2022-08-11,14:19:27,140,2022-08-11,14:23:28,3
122095,frank+herberts+children+of+dune+2003,2022-08-11,18:23:03,249,2022-08-11,18:24,4
112353,father+of+the+bride+part+ii+1995,2022-08-11,17:09:47,80,2022-08-11,17:37:34,3
112353,one+fine+day+1996,2022-08-15,17:39:12,98,2022-08-15,17:51:18,3
7569,braveheart+1995,2022-08-15,18:16:59,99,2022-08-15,19:37:20,3
43481,october+sky+1999,2022-08-15,18:34:25,99,2022-08-15,18:45:24,3
70177,the+santa+clause+3+the+escape+clause+2006,2022-08-15,18:24:59,88,2022-08-15,18:25:57,1
196775,american+beauty+1999,2022-08-15,19:19:51,99,2022-08-15,19:45:04,4
184085,its+a+mad_+mad_+mad_+mad+world+1963,2022-08-15,19:37:13,94,2022-08-15,19:38:14,3
6996,men+in+black+1997,2022-08-15,19:49:25,92,2022-08-15,19:57:25,3
224353,american+history+x+1998,2022-08-15,20:09:14,93,2022-08-15,20:36:44,5
75955,ran+1985,2022-08-15,20:22:27,99,2022-08-15,21:26:39,4
162471,adventures+in+babysitting+1987,2022-08-15,21:06:24,98,2022-08-15,21:12:28,4
70259,the+lion+king+1994,2022-08-15,21:31:47,90,2022-08-15,21:32:48,4
63601,x-men+the+last+stand+2006,2022-08-15,21:59:53,98,2022-08-15,22:07:47,3
22086,basic+instinct+1992,2022-08-15,22:17:51,98,2022-08-15,22:48:46,5
97919,return+of+the+jedi+1983,2022-08-15,22:34:20,99,2022-08-15,23:17:20,3
184085,kill+bill+vol.+2+2004,2022-08-15,23:42:26,99,2022-08-16,00:21:29,4
184085,kill+bill+vol.+2+2004,2022-08-16,00:20:30,137,2022-08-16,00:21:29,4
93018,batman+1989,2022-08-15,23:48:31,99,2022-08-16,00:17:28,5
93018,batman+1989,2022-08-16,00:15:29,126,2022-08-16,00:17:28,5
7569,mortal+kombat+1995,2022-08-15,23:59:10,88,2022-08-16,00:14:02,3
7569,mortal+kombat+1995,2022-08-16,00:12:58,102,2022-08-16,00:14:02,3
70177,neil+young+heart+of+gold+2006,2022-08-15,23:08:23,9,2022-08-15,23:16:22,1
180066,in+the+line+of+fire+1993,2022-08-15,23:59:44,29,2022-08-16,01:41:49,5
180066,in+the+line+of+fire+1993,2022-08-16,01:40:50,129,2022-08-16,01:41:49,5
112353,home+alone+1990,2022-08-15,23:45:19,8,2022-08-16,00:30:24,3
112353,home+alone+1990,2022-08-16,00:23:25,46,2022-08-16,00:30:24,3
6996,25th+hour+2002,2022-08-15,23:59:37,28,2022-08-16,01:49:28,4
6996,25th+hour+2002,2022-08-16,01:48:27,136,2022-08-16,01:49:28,4
184180,die+hard+with+a+vengeance+1995,2022-08-16,02:35:20,129,2022-08-16,02:36:16,5
122095,shrek+2001,2022-08-16,02:24:20,88,2022-08-16,02:28:27,5
52204,mars+attacks+1996,2022-08-16,02:58:25,107,2022-08-16,02:59:24,5
204946,hercules+1997,2022-08-16,03:05:55,94,2022-08-16,03:06:55,4
224353,rain+man+1988,2022-08-16,04:12:39,130,2022-08-16,04:17:46,2
218573,silver+city+2004,2022-08-16,04:39:53,129,2022-08-16,04:40:52,3
67973,girl_+interrupted+1999,2022-08-16,06:12:23,115,2022-08-16,06:26:51,4
213624,grease+2+1982,2022-08-16,06:44:36,116,2022-08-16,06:45:41,3
126484,hackers+1995,2022-08-16,06:45:19,106,2022-08-16,06:53:18,3
152229,three+days+of+the+condor+1975,2022-08-16,07:14:06,116,2022-08-16,07:17:06,2
222459,x-men+2000,2022-08-16,09:26:50,104,2022-08-16,09:28:55,4
155613,y+tu+mam+tambin+2001,2022-08-16,10:31:41,98,2022-08-16,10:41:59,3
76449,pushing+tin+1999,2022-08-16,12:50:49,99,2022-08-16,13:18:13,3
102186,casablanca+1942,2022-08-16,13:27:36,91,2022-08-16,13:40:29,5
43481,the+shining+1980,2022-08-16,14:23:36,98,2022-08-16,15:12:25,3
101645,stranger+than+fiction+2006,2022-08-16,15:58,84,2022-08-16,16:28:54,3
111299,braveheart+1995,2022-08-16,18:00:08,170,2022-08-16,18:09:10,5
94250,the+princess+bride+1987,2022-08-16,18:01:05,98,2022-08-16,18:03:06,4
16915,the+sea+inside+2004,2022-08-16,18:02:12,97,2022-08-16,18:32:29,2
164583,toy+story+2+1999,2022-08-16,18:06:51,92,2022-08-16,18:08:50,3
63187,babe+1995,2022-08-16,18:17:54,90,2022-08-16,18:18:59,5
63445,true+lies+1994,2022-08-16,18:59:58,99,2022-08-16,19:44:05,3
187950,the+tao+of+steve+2000,2022-08-16,17:34:40,9,2022-08-16,17:36:41,3
93324,goldeneye+1995,2022-08-16,19:09:50,99,2022-08-16,19:42:36,4
162807,fantasia+1940,2022-08-16,19:07:16,95,2022-08-16,19:38:34,4
121807,lolita+1997,2022-08-16,19:42:16,97,2022-08-16,20:24:26,3
212268,forrest+gump+1994,2022-08-16,19:55:32,98,2022-08-16,20:41:22,4
94016,2010+1984,2022-08-16,20:04:49,98,2022-08-16,20:25:03,4
27055,digimon+the+movie+2000,2022-08-16,20:26:43,80,2022-08-16,20:30:39,1
48199,wag+the+dog+1997,2022-08-16,21:07:07,98,2022-08-16,21:08:12,2
121444,star+trek+insurrection+1998,2022-08-16,21:18:10,98,2022-08-16,21:25:06,4
180066,toy+story+1995,2022-08-16,21:24:32,79,2022-08-16,21:28:25,5
76449,rush+hour+2+2001,2022-08-16,21:57:25,56,2022-08-16,21:59:26,2
213624,sleepy+hollow+1999,2022-08-16,23:51:12,98,2022-08-17,00:00:23,5
43481,alien+1979,2022-08-16,23:58:39,77,2022-08-17,00:40:36,3
43481,alien+1979,2022-08-17,00:33:38,112,2022-08-17,00:40:36,3
108413,the+sound+of+music+1965,2022-08-17,03:18:17,175,2022-08-17,03:19:18,4
70177,an+american+in+paris+1951,2022-08-17,03:08:19,114,2022-08-17,03:09:15,1
22086,the+fifth+element+1997,2022-08-17,04:10:48,127,2022-08-17,04:11:48,4
227816,bullets+over+broadway+1994,2022-08-17,03:43:43,99,2022-08-17,03:44:42,2
101645,the+sum+of+all+fears+2002,2022-08-17,04:35:55,124,2022-08-17,04:37:53,3
121444,tommy+boy+1995,2022-08-17,04:34:38,97,2022-08-17,04:36:40,4
97919,independence+day+1996,2022-08-17,05:36:34,146,2022-08-17,05:37:36,4
160932,ghost+1990,2022-08-17,05:47:08,127,2022-08-17,05:49:04,5
31573,dan+in+real+life+2007,2022-08-17,05:37:11,95,2022-08-17,05:42:13,4
162471,the+philadelphia+story+1940,2022-08-17,10:47,112,2022-08-17,10:48:54,4
56566,out+of+sight+1998,2022-08-17,12:04:34,121,2022-08-17,12:08:31,5
92968,terminator+2+judgment+day+1991,2022-08-17,11:47:39,138,2022-08-17,11:48:39,5
179877,the+godfather+1972,2022-08-17,14:12:50,176,2022-08-17,14:13:51,5
6555,clear+and+present+danger+1994,2022-08-17,14:00:51,141,2022-08-17,14:02:53,3
198286,sleepers+1996,2022-08-17,12:18:12,25,2022-08-17,12:19:11,1
160193,sleepless+in+seattle+1993,2022-08-17,13:22:50,76,2022-08-17,13:23:54,2
112353,in+love+and+war+1996,2022-08-17,14:02:15,94,2022-08-17,14:23:23,3
16915,pans+labyrinth+2006,2022-08-17,14:12:35,98,2022-08-17,14:34:24,3
27055,executive+decision+1996,2022-08-17,14:42:04,96,2022-08-17,14:43:04,1
228702,the+lord+of+the+rings+1978,2022-08-17,14:45:01,99,2022-08-17,15:20:06,4
6996,the+royal+tenenbaums+2001,2022-08-17,14:56:52,99,2022-08-17,15:09:37,4
45191,the+godfather+1972,2022-08-17,16:33:58,175,2022-08-17,16:35:55,4
70259,die+hard+with+a+vengeance+1995,2022-08-17,15:55,94,2022-08-17,16:36:43,4
187950,cinema+paradiso+1988,2022-08-17,17:47:59,98,2022-08-17,18:15:48,5
94250,the+thin+red+line+1998,2022-08-17,18:22:21,99,2022-08-17,19:36:51,2
190591,star+wars+1977,2022-08-17,18:25:16,97,2022-08-17,18:51:15,4
204946,fantasia+2000+1999,2022-08-17,18:54:01,74,2022-08-17,18:55:57,4
93018,fitzcarraldo+1982,2022-08-17,19:48:53,99,2022-08-17,20:49:31,5
217413,saturday+night+and+sunday+morning+1960,2022-08-17,20:03:28,87,2022-08-17,20:07:31,4
126484,dantes+peak+1997,2022-08-17,19:06:24,4,2022-08-17,19:07:25,2
76496,forrest+gump+1994,2022-08-17,20:41:49,97,2022-08-17,21:29:33,3
194607,non-stop+2014,2022-08-17,20:44:14,99,2022-08-17,20:53:15,4
155613,no+country+for+old+men+2007,2022-08-17,21:08:46,99,2022-08-17,21:33:33,4
65161,bad+girls+1994,2022-08-17,21:13:41,97,2022-08-17,21:17:35,3
121807,from+hell+2001,2022-08-17,21:18:54,96,2022-08-17,21:47:41,4
111299,aladdin+1992,2022-08-17,21:14:48,91,2022-08-17,21:15:46,3
30606,home+alone+1990,2022-08-17,21:27:34,99,2022-08-17,21:33:54,1
112353,aladdin+1992,2022-08-17,21:53:36,82,2022-08-17,22:03:45,3
158488,aladdin+1992,2022-08-17,22:13:26,91,2022-08-17,22:14:27,4
6555,the+longest+day+1962,2022-08-17,23:15:47,96,2022-08-18,00:40:57,3
6555,the+longest+day+1962,2022-08-18,00:39:56,179,2022-08-18,00:40:57,3
142240,the+perfect+storm+2000,2022-08-17,23:25:10,99,2022-08-17,23:48:55,2
22086,hot+lead++cold+feet+1978,2022-08-17,23:58:02,58,2022-08-18,00:31:47,1
22086,hot+lead++cold+feet+1978,2022-08-18,00:29:46,90,2022-08-18,00:31:47,1
70259,the+net+1995,2022-08-17,23:58:56,34,2022-08-18,01:20:54,3
70259,the+net+1995,2022-08-18,01:18:55,114,2022-08-18,01:20:54,3
101843,the+6th+day+2000,2022-08-18,02:20:44,122,2022-08-18,02:23:46,3
122354,sunset+boulevard+1950,2022-08-18,02:19:46,110,2022-08-18,02:21:46,4
184180,drop+zone+1994,2022-08-18,02:32:22,102,2022-08-18,02:33:22,2
12993,zodiac+2007,2022-08-18,03:51:51,158,2022-08-18,03:52:48,3
65161,bad+company+1995,2022-08-18,03:03:14,108,2022-08-18,03:05:14,4
45191,filth+2013,2022-08-18,02:49:51,98,2022-08-18,02:50:49,5
217413,tangerines+2013,2022-08-18,02:47:43,88,2022-08-18,02:48:45,4
187199,walle+2008,2022-08-18,03:39:43,99,2022-08-18,03:40:45,5
227816,say+anything...+1989,2022-08-18,03:44:05,99,2022-08-18,03:47,2
9998,addams+family+values+1993,2022-08-18,05:03:09,95,2022-08-18,05:04:12,4
16915,the+queen+2006,2022-08-18,06:17:47,104,2022-08-18,06:18:49,2
76496,the+boys+of+st.+vincent+1992,2022-08-18,06:14:55,47,2022-08-18,06:15:56,3
121444,hollow+man+2000,2022-08-18,09:45:30,113,2022-08-18,09:46:36,5
52204,dangerous+minds+1995,2022-08-18,10:17:27,98,2022-08-18,10:20:21,3
70177,music+and+lyrics+2007,2022-08-18,11:02:55,96,2022-08-18,11:04:57,5
63601,pulp+fiction+1994,2022-08-18,13:25:14,155,2022-08-18,13:26:13,5
224353,snatch+2000,2022-08-18,14:10:49,98,2022-08-18,14:17:40,4
30606,sense+and+sensibility+1995,2022-08-18,14:50:54,99,2022-08-18,15:29:27,5
63187,aladdin+and+the+king+of+thieves+1996,2022-08-18,14:24:58,80,2022-08-18,14:28:05,3
164583,ghost+dog+the+way+of+the+samurai+1999,2022-08-18,15:47:15,97,2022-08-18,16:08:21,5
204946,matilda+1996,2022-08-18,16:07:53,87,2022-08-18,16:21:06,3
83359,boxing+helena+1993,2022-08-18,16:32:32,98,2022-08-18,16:43:30,3
121807,the+truman+show+1998,2022-08-18,19:38:35,99,2022-08-18,19:44:37,3
184092,the+neverending+story+1984,2022-08-18,18:50:08,38,2022-08-18,18:52:10,2
7569,goldeneye+1995,2022-08-18,19:56:40,98,2022-08-18,20:30:46,3
160932,beverly+hills+cop+iii+1994,2022-08-18,20:39:17,99,2022-08-18,20:46:12,2
222788,bartleby+2001,2022-08-18,20:31:44,86,2022-08-18,20:32:48,4
38824,mary+poppins+1964,2022-08-18,21:35:34,98,2022-08-18,22:18:16,4
60061,while+you+were+sleeping+1995,2022-08-18,22:01:01,99,2022-08-18,22:07:18,4
45191,enter+the+void+2009,2022-08-18,22:11:02,99,2022-08-18,23:15:01,5
121807,star+wars+1977,2022-08-18,22:12:43,98,2022-08-18,22:42:46,3
93018,halloween+the+curse+of+michael+myers+1995,2022-08-18,22:11:31,89,2022-08-18,22:12:31,1
212268,lock_+stock+and+two+smoking+barrels+1998,2022-08-18,22:39:05,99,2022-08-18,22:47:25,4
101645,the+notebook+2004,2022-08-18,22:44:33,97,2022-08-18,23:12:48,4
184180,batman+1989,2022-08-18,23:06:30,98,2022-08-18,23:36:49,3
75955,the+wizard+of+oz+1939,2022-08-18,23:49:50,99,2022-08-18,23:55:02,4
97919,broken+arrow+1996,2022-08-18,23:54:43,95,2022-08-19,00:09:42,3
97919,broken+arrow+1996,2022-08-19,00:08:40,109,2022-08-19,00:09:42,3
77935,the+hudsucker+proxy+1994,2022-08-18,23:59:17,34,2022-08-19,01:18:11,5
77935,the+hudsucker+proxy+1994,2022-08-19,01:07:18,102,2022-08-19,01:18:11,5
94016,the+muppets+take+manhattan+1984,2022-08-19,01:05:33,56,2022-08-19,01:07:34,3
65161,toy+story+1995,2022-08-19,01:56:47,82,2022-08-19,01:57:46,5
16915,brokeback+mountain+2005,2022-08-19,02:55:52,135,2022-08-19,02:56:52,5
164583,grumpier+old+men+1995,2022-08-19,03:32:55,101,2022-08-19,03:34:56,1
76449,jay+and+silent+bob+strike+back+2001,2022-08-19,04:19:34,105,2022-08-19,04:20:37,3
79445,the+godfather+part+ii+1974,2022-08-19,06:10:07,201,2022-08-19,06:11:10,1
180066,the+usual+suspects+1995,2022-08-19,04:55:13,102,2022-08-19,05:01:25,4
31573,the+book+of+eli+2010,2022-08-19,05:15:49,112,2022-08-19,05:24:02,4
126484,starship+troopers+1997,2022-08-19,05:44:26,129,2022-08-19,05:46:28,4
62237,dead+again+1991,2022-08-19,05:55:44,108,2022-08-19,05:56:46,4
101843,the+red+violin+1998,2022-08-19,06:24:35,129,2022-08-19,06:28:31,5
155613,the+hangover+2009,2022-08-19,06:28:31,101,2022-08-19,06:29:31,3
213624,the+night+flier+1997,2022-08-19,06:18:08,53,2022-08-19,06:20:04,2
102186,ice+age+2002,2022-08-19,06:55:42,81,2022-08-19,06:57:32,3
93324,the+net+1995,2022-08-19,05:47:08,5,2022-08-19,05:49:10,2
121444,red+planet+2000,2022-08-19,09:37:25,86,2022-08-19,09:59:09,3
63187,pinocchio+1940,2022-08-19,10:09:41,50,2022-08-19,10:10:41,1
6555,the+limey+1999,2022-08-19,11:13:55,69,2022-08-19,11:15:57,1
189746,nine+months+1995,2022-08-19,11:57:02,99,2022-08-19,12:03:05,3
38824,the+nutty+professor+1996,2022-08-19,12:24:43,48,2022-08-19,12:25:40,3
70259,true+lies+1994,2022-08-19,14:06:38,99,2022-08-19,14:50:34,3
217413,the+rules+of+the+game+1939,2022-08-19,14:32:07,94,2022-08-19,14:49:58,5
160238,the+incredibles+2004,2022-08-19,14:44:37,87,2022-08-19,15:14:48,5
110930,one+flew+over+the+cuckoos+nest+1975,2022-08-19,15:56:05,98,2022-08-19,16:32:38,5
224353,the+lord+of+the+rings+the+two+towers+2002,2022-08-19,17:33:16,180,2022-08-19,17:34:18,3
83359,terminator+2+judgment+day+1991,2022-08-19,16:54:08,99,2022-08-19,17:34:24,4
175655,juno+2007,2022-08-19,17:06:13,96,2022-08-19,17:08:16,4
